order,jid,reduced_composition_group,chemical_system_group,element_count,jid_order_fold,chemical_system_fold
0,JVASP-10,VSe2,Se-V,2,0,3
1,JVASP-100001,DyAlCo4,Al-Co-Dy,3,0,3
2,JVASP-10001,Li2ZrTeO6,Li-O-Te-Zr,4,0,3
3,JVASP-100010,CoNiAs2,As-Co-Ni,3,0,0
4,JVASP-100017,Cr2SeS,Cr-S-Se,3,0,3
5,JVASP-100022,CeAs2Au,As-Au-Ce,3,0,0
6,JVASP-100026,CaLaGaO4,Ca-Ga-La-O,4,0,2
7,JVASP-100028,Ce2InAg,Ag-Ce-In,3,0,0
8,JVASP-100038,AlSb,Al-Sb,2,0,2
9,JVASP-100039,AlVNi2,Al-Ni-V,3,0,2
10,JVASP-10004,LiCa4(BN2)3,B-Ca-Li-N,4,0,3
11,JVASP-100042,AlIn(AgSe2)2,Ag-Al-In-Se,4,0,1
12,JVASP-100044,AgSbS2,Ag-S-Sb,3,0,0
13,JVASP-100046,CdGeN2,Cd-Ge-N,3,0,0
14,JVASP-100047,Mg(ZnN)2,Mg-N-Zn,3,0,0
15,JVASP-100052,BaSnN2,Ba-N-Sn,3,0,0
16,JVASP-100053,NbSeN,N-Nb-Se,3,0,3
17,JVASP-100054,Ca2PdN2,Ca-N-Pd,3,0,0
18,JVASP-100055,CrF6,Cr-F,2,0,1
19,JVASP-100056,ZnWF6,F-W-Zn,3,0,0
20,JVASP-100057,ZnMoF6,F-Mo-Zn,3,0,1
21,JVASP-100060,LiNiO2,Li-Ni-O,3,0,2
22,JVASP-100063,LiCoO2,Co-Li-O,3,0,3
23,JVASP-100065,CrSbO4,Cr-O-Sb,3,0,0
24,JVASP-100066,Mn2OF2,F-Mn-O,3,0,2
25,JVASP-100067,Li2VF4,F-Li-V,3,0,3
26,JVASP-100068,Sr2AsAu,As-Au-Sr,3,0,2
27,JVASP-10007,Ba4NaCu(CO5)2,Ba-C-Cu-Na-O,5,0,1
28,JVASP-100070,FeSnRh2,Fe-Rh-Sn,3,0,3
29,JVASP-100072,TaOF3,F-O-Ta,3,0,3
30,JVASP-100075,Li3AsF6,As-F-Li,3,0,2
31,JVASP-100080,Li3AlF6,Al-F-Li,3,0,1
32,JVASP-100086,K2LiRuF6,F-K-Li-Ru,4,0,3
33,JVASP-10010,Ca2As2O7,As-Ca-O,3,0,1
34,JVASP-100119,Rb3GaF6,F-Ga-Rb,3,0,3
35,JVASP-100120,Rb2AlInF6,Al-F-In-Rb,4,0,1
36,JVASP-10013,KGeNO,Ge-K-N-O,4,0,0
37,JVASP-100130,Sr2TaAlO6,Al-O-Sr-Ta,4,0,2
38,JVASP-100131,BaCuS2,Ba-Cu-S,3,0,3
